order_id,order_date,affiliate_code,sub_affiliate_code,product_1_name,product_1_price,product_2_name,product_2_price,product_3_name,product_3_price,product_4_name,product_4_price,product_5_name,product_5_price
ORD0000001,2025-12-04,AFF008,AFF008-S02,Renewal Cream,119.00,Porch Pirate Protection,19.00,Priority Support,49.00,,,,
ORD0000002,2026-02-08,AFF022,,Radiance Serum,49.00,,,,,,,,
ORD0000003,2026-03-25,AFF023,,Renewal Cream,49.00,Sample Pack,59.00,,,,,,
ORD0000004,2026-05-12,AFF016,AFF016-S09,Renewal Cream,49.00,,,,,,,,
ORD0000005,2025-09-21,AFF016,AFF016-S12,Radiance Serum,69.00,,,,,,,,
ORD0000006,2026-05-31,AFF024,AFF024-S01,Renewal Cream,49.00,Gift Packaging,24.00,,,,,,
ORD0000007,2026-05-28,AFF017,AFF017-S02,Renewal Cream,49.00,Expedited Shipping,29.00,,,,,,
ORD0000008,2026-09-14,AFF027,,Radiance Serum,49.00,,,,,,,,
ORD0000009,2026-06-24,AFF004,AFF004-S01,Radiance Serum,29.00,,,,,,,,
ORD0000010,2026-03-14,AFF015,AFF015-S02,Radiance Serum,49.00,,,,,,,,
ORD0000011,2026-02-02,AFF024,AFF024-S01,Renewal Cream,119.00,,,,,,,,
ORD0000012,2026-06-13,,,Radiance Serum,49.00,,,,,,,,
ORD0000013,2025-09-24,AFF022,,Radiance Serum,49.00,,,,,,,,
ORD0000014,2025-11-10,,,Radiance Serum,29.00,Extended Warranty,39.00,,,,,,
ORD0000015,2026-02-24,AFF015,,Radiance Serum,49.00,,,,,,,,
ORD0000016,2026-07-12,AFF001,AFF001-S01,Renewal Cream,119.00,Expedited Shipping,29.00,Porch Pirate Protection,19.00,Gift Packaging,24.00,Priority Support,49.00
ORD0000017,2025-10-11,AFF013,,Renewal Cream,79.00,Sample Pack,59.00,,,,,,
ORD0000018,2025-10-06,AFF023,,Radiance Serum,49.00,,,,,,,,
ORD0000019,2026-06-02,AFF006,,Radiance Serum,29.00,,,,,,,,
ORD0000020,2025-11-21,AFF029,AFF029-S04,Radiance Serum,49.00,Sample Pack,59.00,,,,,,
ORD0000021,2026-01-28,,,Radiance Serum,29.00,,,,,,,,
ORD0000022,2026-01-07,AFF017,AFF017-S01,Renewal Cream,49.00,Extended Warranty,39.00,,,,,,
ORD0000023,2026-03-30,AFF019,AFF019-S01,Renewal Cream,49.00,Gift Packaging,24.00,Sample Pack,59.00,,,,
ORD0000024,2025-10-12,AFF028,AFF028-S02,Renewal Cream,79.00,,,,,,,,
ORD0000025,2026-03-12,AFF001,AFF001-S01,Radiance Serum,49.00,,,,,,,,
ORD0000026,2026-06-28,AFF004,AFF004-S02,Radiance Serum,69.00,Sample Pack,59.00,Expedited Shipping,29.00,,,,
ORD0000027,2025-09-16,AFF024,,Renewal Cream,49.00,Porch Pirate Protection,19.00,,,,,,
ORD0000028,2026-08-01,AFF017,,Radiance Serum,49.00,Expedited Shipping,29.00,,,,,,
ORD0000029,2026-04-08,AFF030,AFF030-S07,Radiance Serum,69.00,,,,,,,,
ORD0000030,2026-01-31,AFF004,AFF004-S02,Radiance Serum,69.00,Expedited Shipping,29.00,,,,,,
ORD0000031,2026-04-15,AFF021,,Renewal Cream,49.00,,,,,,,,
ORD0000032,2026-06-18,AFF015,AFF015-S03,Radiance Serum,69.00,,,,,,,,
ORD0000033,2026-08-02,AFF006,AFF006-S03,Radiance Serum,49.00,,,,,,,,
ORD0000034,2026-01-09,AFF003,,Renewal Cream,119.00,Gift Packaging,24.00,Sample Pack,59.00,Expedited Shipping,29.00,,
ORD0000035,2026-02-15,AFF021,AFF021-S02,Radiance Serum,49.00,,,,,,,,
ORD0000036,2025-09-20,AFF024,AFF024-S01,Radiance Serum,29.00,,,,,,,,
ORD0000037,2025-10-17,AFF017,,Renewal Cream,49.00,,,,,,,,
ORD0000038,2025-09-19,AFF021,AFF021-S03,Radiance Serum,69.00,,,,,,,,
ORD0000039,2025-10-31,AFF005,AFF005-S01,Radiance Serum,49.00,Expedited Shipping,29.00,Gift Packaging,24.00,,,,
ORD0000040,2026-02-11,AFF005,AFF005-S02,Renewal Cream,119.00,Expedited Shipping,29.00,Extended Warranty,39.00,Gift Packaging,24.00,,
ORD0000041,2026-01-06,,,Radiance Serum,49.00,Priority Support,49.00,,,,,,
ORD0000042,2025-11-11,AFF028,AFF028-S02,Renewal Cream,79.00,,,,,,,,
ORD0000043,2025-12-01,AFF017,AFF017-S02,Radiance Serum,49.00,Expedited Shipping,29.00,,,,,,
ORD0000044,2025-09-30,AFF021,,Radiance Serum,29.00,,,,,,,,
ORD0000045,2026-03-19,AFF022,AFF022-S06,Radiance Serum,69.00,,,,,,,,
ORD0000046,2025-11-14,AFF029,,Radiance Serum,29.00,,,,,,,,
ORD0000047,2026-06-07,AFF015,,Radiance Serum,69.00,,,,,,,,
ORD0000048,2026-06-01,AFF011,,Renewal Cream,79.00,,,,,,,,
ORD0000049,2026-08-13,AFF027,AFF027-S01,Radiance Serum,49.00,,,,,,,,
ORD0000050,2026-02-02,AFF004,,Radiance Serum,69.00,Porch Pirate Protection,19.00,Expedited Shipping,29.00,Extended Warranty,39.00,Sample Pack,59.00
ORD0000051,2025-09-16,AFF024,AFF024-S01,Renewal Cream,49.00,,,,,,,,
ORD0000052,2026-03-25,AFF001,AFF001-S01,Radiance Serum,69.00,Priority Support,49.00,Gift Packaging,24.00,Sample Pack,59.00,,
ORD0000053,2026-04-14,AFF027,AFF027-S05,Radiance Serum,49.00,Gift Packaging,24.00,,,,,,
ORD0000054,2026-04-10,AFF022,AFF022-S02,Radiance Serum,69.00,Porch Pirate Protection,19.00,Expedited Shipping,29.00,Gift Packaging,24.00,,
ORD0000055,2026-05-18,AFF017,AFF017-S01,Radiance Serum,29.00,,,,,,,,
ORD0000056,2026-02-28,AFF006,,Radiance Serum,29.00,Expedited Shipping,29.00,Porch Pirate Protection,19.00,,,,
ORD0000057,2025-12-22,AFF013,AFF013-S07,Renewal Cream,49.00,,,,,,,,
ORD0000058,2025-10-31,AFF028,AFF028-S01,Radiance Serum,29.00,,,,,,,,
ORD0000059,2026-02-20,AFF009,,Renewal Cream,79.00,Extended Warranty,39.00,,,,,,
ORD0000060,2025-10-10,AFF001,AFF001-S05,Renewal Cream,79.00,Gift Packaging,24.00,Extended Warranty,39.00,Sample Pack,59.00,,
ORD0000061,2026-02-25,AFF016,AFF016-S07,Renewal Cream,119.00,Porch Pirate Protection,19.00,,,,,,
ORD0000062,2025-11-20,AFF015,,Radiance Serum,49.00,Sample Pack,59.00,,,,,,
ORD0000063,2025-12-05,AFF016,AFF016-S10,Renewal Cream,79.00,Extended Warranty,39.00,,,,,,
ORD0000064,2025-10-01,AFF022,AFF022-S06,Radiance Serum,29.00,,,,,,,,
ORD0000065,2026-05-06,AFF023,,Renewal Cream,49.00,,,,,,,,
ORD0000066,2026-02-02,AFF028,AFF028-S01,Radiance Serum,29.00,,,,,,,,
ORD0000067,2026-04-15,AFF026,AFF026-S02,Radiance Serum,49.00,,,,,,,,
ORD0000068,2026-04-09,AFF004,AFF004-S02,Radiance Serum,69.00,Porch Pirate Protection,19.00,Extended Warranty,39.00,Expedited Shipping,29.00,,
ORD0000069,2026-06-17,AFF024,AFF024-S01,Renewal Cream,119.00,Gift Packaging,24.00,,,,,,
ORD0000070,2026-08-11,AFF016,,Renewal Cream,119.00,Extended Warranty,39.00,Porch Pirate Protection,19.00,Gift Packaging,24.00,,
ORD0000071,2026-02-27,AFF018,,Renewal Cream,79.00,,,,,,,,
ORD0000072,2026-05-20,AFF015,,Radiance Serum,69.00,,,,,,,,
ORD0000073,2026-05-17,AFF025,AFF025-S01,Radiance Serum,49.00,,,,,,,,
ORD0000074,2026-07-03,AFF018,AFF018-S04,Renewal Cream,79.00,,,,,,,,
ORD0000075,2026-08-21,AFF010,,Radiance Serum,49.00,,,,,,,,
ORD0000076,2025-10-17,AFF021,,Renewal Cream,49.00,Extended Warranty,39.00,,,,,,
ORD0000077,2025-10-27,AFF002,,Renewal Cream,119.00,Priority Support,49.00,Extended Warranty,39.00,,,,
ORD0000078,2025-11-16,AFF005,AFF005-S02,Radiance Serum,49.00,Sample Pack,59.00,Expedited Shipping,29.00,Extended Warranty,39.00,,
ORD0000079,2026-06-16,AFF001,AFF001-S03,Renewal Cream,49.00,Expedited Shipping,29.00,,,,,,
ORD0000080,2026-07-15,AFF023,,Radiance Serum,29.00,,,,,,,,
ORD0000081,2025-12-31,AFF016,AFF016-S03,Radiance Serum,69.00,,,,,,,,
ORD0000082,2025-09-26,AFF003,,Renewal Cream,49.00,Extended Warranty,39.00,,,,,,
ORD0000083,2026-01-26,AFF030,AFF030-S05,Radiance Serum,29.00,,,,,,,,
ORD0000084,2026-07-07,AFF006,AFF006-S03,Renewal Cream,119.00,,,,,,,,
ORD0000085,2026-01-21,AFF021,AFF021-S01,Radiance Serum,29.00,,,,,,,,
ORD0000086,2025-09-27,AFF024,,Radiance Serum,49.00,,,,,,,,
ORD0000087,2026-06-26,AFF001,AFF001-S03,Renewal Cream,79.00,Extended Warranty,39.00,Expedited Shipping,29.00,,,,
ORD0000088,2025-12-04,AFF015,AFF015-S03,Radiance Serum,49.00,,,,,,,,
ORD0000089,2025-11-16,AFF021,AFF021-S02,Radiance Serum,49.00,,,,,,,,
ORD0000090,2025-12-26,AFF016,AFF016-S03,Radiance Serum,49.00,Expedited Shipping,29.00,,,,,,
ORD0000091,2026-09-06,AFF015,AFF015-S01,Radiance Serum,69.00,Sample Pack,59.00,Gift Packaging,24.00,,,,
ORD0000092,2026-01-28,AFF024,AFF024-S01,Renewal Cream,49.00,,,,,,,,
ORD0000093,2026-06-07,AFF002,AFF002-S09,Radiance Serum,69.00,Priority Support,49.00,,,,,,
ORD0000094,2025-09-16,AFF001,AFF001-S01,Renewal Cream,49.00,Gift Packaging,24.00,Priority Support,49.00,,,,
ORD0000095,2025-09-24,AFF002,AFF002-S07,Renewal Cream,119.00,Extended Warranty,39.00,Priority Support,49.00,Gift Packaging,24.00,,
ORD0000096,2025-10-16,AFF017,AFF017-S01,Renewal Cream,49.00,,,,,,,,
ORD0000097,2026-03-11,AFF027,AFF027-S03,Radiance Serum,29.00,,,,,,,,
ORD0000098,2026-07-09,AFF001,AFF001-S01,Renewal Cream,79.00,Expedited Shipping,29.00,Extended Warranty,39.00,,,,
ORD0000099,2026-07-17,AFF019,AFF019-S01,Renewal Cream,49.00,,,,,,,,
ORD0000100,2025-09-26,AFF003,,Radiance Serum,29.00,,,,,,,,
ORD0000101,2026-06-15,AFF016,AFF016-S01,Radiance Serum,29.00,,,,,,,,
ORD0000102,2026-05-17,AFF029,AFF029-S06,Radiance Serum,69.00,Porch Pirate Protection,19.00,,,,,,
ORD0000103,2026-02-20,AFF019,,Renewal Cream,119.00,,,,,,,,
ORD0000104,2026-03-15,AFF005,AFF005-S01,Radiance Serum,69.00,Sample Pack,59.00,,,,,,
ORD0000105,2026-04-14,AFF018,AFF018-S04,Renewal Cream,49.00,,,,,,,,
ORD0000106,2026-08-12,AFF001,AFF001-S04,Renewal Cream,79.00,Priority Support,49.00,Sample Pack,59.00,Porch Pirate Protection,19.00,Gift Packaging,24.00
ORD0000107,2026-04-23,AFF029,AFF029-S02,Radiance Serum,69.00,,,,,,,,
ORD0000108,2026-03-26,AFF003,,Renewal Cream,49.00,Porch Pirate Protection,19.00,,,,,,
ORD0000109,2026-04-27,AFF006,AFF006-S01,Radiance Serum,29.00,,,,,,,,
ORD0000110,2026-07-13,,,Radiance Serum,29.00,,,,,,,,
ORD0000111,2025-12-01,AFF015,AFF015-S03,Renewal Cream,119.00,Gift Packaging,24.00,,,,,,
ORD0000112,2026-06-29,AFF016,AFF016-S08,Renewal Cream,79.00,Priority Support,49.00,,,,,,
ORD0000113,2026-03-26,AFF009,AFF009-S04,Renewal Cream,119.00,Priority Support,49.00,Porch Pirate Protection,19.00,,,,
