rule_id,product,price_point,affiliate,sub_affiliate,cpa_type,cpa_value,effective_from,effective_to
R0001,Radiance Serum,,,,percent,108.5,2025-09-15,2026-02-28
R0002,Radiance Serum,,,,percent,113.0,2026-03-08,
R0003,Renewal Cream,,,,percent,109.5,2025-09-15,2026-06-30
R0004,Renewal Cream,,,,percent,114.0,2026-07-09,
R0005,Radiance Serum,49,,,percent,108.5,2025-09-15,
R0006,Radiance Serum,69,,,fixed,75.00,2025-09-15,
R0007,Radiance Serum,49,AFF021,,fixed,55.50,2025-09-15,
R0008,Radiance Serum,29,AFF014,,fixed,50.00,2025-09-15,
R0009,Radiance Serum,69,AFF014,,fixed,79.50,2025-09-15,
R0010,Renewal Cream,49,AFF014,,percent,110.0,2025-09-15,
R0011,Radiance Serum,,AFF028,,fixed,150.00,2025-09-15,
R0012,Renewal Cream,,AFF028,,fixed,149.50,2025-09-15,
R0013,Radiance Serum,49,AFF015,,fixed,62.00,2025-09-15,
R0014,Renewal Cream,79,AFF024,,fixed,95.00,2025-09-15,
R0015,Renewal Cream,,AFF024,,fixed,77.00,2025-09-15,
R0016,Renewal Cream,,AFF025,,percent,113.5,2025-09-15,
R0017,Radiance Serum,29,AFF025,,fixed,50.00,2025-09-15,
R0018,Radiance Serum,,AFF025,,fixed,73.00,2025-09-15,
R0019,Renewal Cream,79,AFF005,,fixed,92.50,2025-09-15,
R0020,Renewal Cream,119,AFF005,,percent,105.5,2025-09-15,
R0021,Radiance Serum,69,AFF007,,percent,118.5,2025-09-15,
R0022,Renewal Cream,79,AFF007,,fixed,96.50,2025-09-15,
R0023,Renewal Cream,,AFF010,,percent,108.0,2025-09-15,
R0024,Radiance Serum,,AFF026,,fixed,145.50,2025-09-15,
R0025,Renewal Cream,,AFF026,,fixed,148.50,2025-09-15,
R0026,Radiance Serum,29,AFF017,,percent,111.0,2025-09-15,
R0027,Renewal Cream,79,AFF017,,fixed,86.00,2025-09-15,
R0028,Radiance Serum,,AFF017,,percent,108.5,2025-09-15,
R0029,Radiance Serum,69,AFF017,,fixed,76.00,2025-09-15,
R0030,Radiance Serum,,AFF012,,fixed,77.00,2025-09-15,
R0031,Renewal Cream,49,AFF012,,percent,107.5,2025-09-15,
R0032,Radiance Serum,69,AFF012,,fixed,74.00,2025-09-15,
R0033,Renewal Cream,79,AFF012,,fixed,85.50,2025-09-15,
R0034,Radiance Serum,,AFF029,,fixed,141.00,2025-09-15,
R0035,Renewal Cream,,AFF029,,fixed,150.00,2025-09-15,
R0036,Renewal Cream,49,AFF020,,percent,111.0,2025-09-15,
R0037,Renewal Cream,119,AFF020,,fixed,127.00,2025-09-15,
R0038,Renewal Cream,119,AFF008,,percent,118.5,2025-09-15,
R0039,Renewal Cream,49,AFF008,,fixed,57.50,2025-09-15,
R0040,Renewal Cream,79,AFF003,,fixed,93.00,2025-09-15,
R0041,Radiance Serum,69,AFF003,,percent,107.5,2025-09-15,
